#1
double DHWCalc(21604, 5)
#time_in_s	1_Q_flow_	2_m_flow_	3_T_set_	4_T_set_
0.0	0.0	0.0	40	40
14700.0	16945.2	0.135	40	40
14760.0	0.0	0.0	40	40
23580.0	18618.8	0.14833333333333334	40	40
23640.0	0.0	0.0	40	40
24420.0	17572.800000000003	0.14	40	40
24480.0	0.0	0.0	40	40
24840.0	17782.0	0.14166666666666666	40	40
24900.0	0.0	0.0	40	40
25140.0	15271.6	0.12166666666666667	40	40
25200.0	0.0	0.0	40	40
25440.0	10250.8	0.08166666666666667	40	40
25500.0	0.0	0.0	40	40
25620.0	18828.0	0.15	40	40
25680.0	0.0	0.0	40	40
26100.0	19664.8	0.15666666666666668	40	40
26160.0	0.0	0.0	40	40
26280.0	10041.6	0.08	40	40
26340.0	11506.0	0.09166666666666666	40	40
26400.0	11296.8	0.09	40	40
26460.0	0.0	0.0	40	40
27360.0	16526.8	0.13166666666666665	40	40
27420.0	0.0	0.0	40	40
30120.0	15480.8	0.12333333333333334	40	40
30180.0	0.0	0.0	40	40
30420.0	17572.800000000003	0.14	40	40
30480.0	0.0	0.0	40	40
34320.0	8577.199999999999	0.06833333333333333	40	40
34380.0	0.0	0.0	40	40
34800.0	20919.999999999996	0.16666666666666666	40	40
34860.0	0.0	0.0	40	40
39480.0	20083.2	0.16	40	40
39540.0	0.0	0.0	40	40
39720.0	20292.399999999998	0.16166666666666665	40	40
39780.0	0.0	0.0	40	40
41520.0	16108.399999999998	0.12833333333333333	40	40
41580.0	0.0	0.0	40	40
42780.0	20919.999999999996	0.16666666666666666	40	40
42840.0	0.0	0.0	40	40
44760.0	19037.2	0.15166666666666667	40	40
44820.0	0.0	0.0	40	40
45120.0	12970.4	0.10333333333333333	40	40
45180.0	0.0	0.0	40	40
46200.0	24685.6	0.19666666666666666	40	40
46260.0	0.0	0.0	40	40
55680.0	17572.800000000003	0.14	40	40
55740.0	0.0	0.0	40	40
62880.0	14434.800000000001	0.115	40	40
62940.0	0.0	0.0	40	40
67380.0	15480.8	0.12333333333333334	40	40
67440.0	0.0	0.0	40	40
68040.0	15690.0	0.125	40	40
68100.0	0.0	0.0	40	40
69720.0	10669.2	0.085	40	40
69780.0	0.0	0.0	40	40
70080.0	13388.800000000001	0.10666666666666667	40	40
70140.0	0.0	0.0	40	40
70920.0	21338.4	0.17	40	40
70980.0	0.0	0.0	40	40
72660.0	18618.8	0.14833333333333334	40	40
72720.0	0.0	0.0	40	40
73260.0	15271.6	0.12166666666666667	40	40
73320.0	0.0	0.0	40	40
75420.0	15062.4	0.12	40	40
75480.0	0.0	0.0	40	40
77100.0	17154.399999999998	0.13666666666666666	40	40
77160.0	0.0	0.0	40	40
101160.0	12761.2	0.10166666666666667	40	40
101220.0	0.0	0.0	40	40
101580.0	20919.999999999996	0.16666666666666666	40	40
101640.0	0.0	0.0	40	40
109980.0	18200.399999999998	0.145	40	40
110040.0	0.0	0.0	40	40
