x,y
0.000000,293.149994
1728.000000,304.372375
3456.000000,306.599915
5184.000000,308.049835
6912.000000,309.179749
8640.000000,310.187286
10368.000000,311.179382
12096.000000,312.214508
13824.000000,313.334686
15552.000000,314.477844
17280.000000,315.589966
19008.000000,316.636627
20736.000000,317.620575
22464.000000,318.533142
24192.000000,319.415924
25920.000000,318.035522
27648.000000,320.083954
29376.000000,320.896362
31104.000000,321.590698
32832.000000,322.243195
34560.000000,322.840393
36288.000000,323.635620
38016.000000,324.020630
39744.000000,324.874329
41472.000000,325.228668
43200.000000,325.857330
44928.000000,326.439056
46656.000000,326.800110
48384.000000,327.367035
50112.000000,327.901825
51840.000000,313.156830
53568.000000,297.890137
55296.000000,294.273010
57024.000000,322.076538
58752.000000,323.680084
60480.000000,324.674408
62208.000000,325.241638
63936.000000,325.680634
65664.000000,325.981689
67392.000000,326.250183
69120.000000,326.598053
70848.000000,327.113525
72576.000000,327.637360
74304.000000,327.407166
76032.000000,324.574463
77760.000000,300.595093
79488.000000,294.913879
81216.000000,322.434723
82944.000000,323.856842
84672.000000,324.765137
86400.000000,325.214874
88128.000000,325.566559
89856.000000,325.920227
91584.000000,326.304565
93312.000000,326.749634
95040.000000,327.242462
96768.000000,327.756744
98496.000000,324.162872
100224.000000,300.497589
101952.000000,294.890686
103680.000000,293.562286
105408.000000,322.689941
107136.000000,324.050690
108864.000000,324.741638
110592.000000,325.222168
112320.000000,323.095520
114048.000000,325.245667
115776.000000,325.908295
117504.000000,326.397858
119232.000000,326.876923
120960.000000,327.418671
122688.000000,328.215546
124416.000000,301.773163
126144.000000,295.192780
127872.000000,293.633942
129600.000000,293.264648
131328.000000,320.184235
133056.000000,321.168518
134784.000000,322.849731
136512.000000,324.623230
138240.000000,326.326233
139968.000000,327.933075
141696.000000,304.859863
143424.000000,295.924377
145152.000000,293.807098
146880.000000,293.305695
148608.000000,293.186890
150336.000000,293.158722
152064.000000,317.772064
153792.000000,319.482635
155520.000000,320.403900
157248.000000,321.653046
158976.000000,322.743073
160704.000000,322.885651
162432.000000,324.115295
164160.000000,322.412903
165888.000000,324.779755
167616.000000,325.593872
169344.000000,326.197235
171072.000000,326.729279
172800.000000,327.194702
